"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 16 14:51:39 GMT 2023","Mon Oct 16 14:51:39 GMT 2023","801","","UserTest","","UserTest","userCanBeDeleted","Delete user",""
"passed","Mon Oct 16 14:51:40 GMT 2023","Mon Oct 16 14:51:40 GMT 2023","73","","PetTest","","PetTest","petCanBeFindByPetId","Find pet by ID",""
"passed","Mon Oct 16 14:51:40 GMT 2023","Mon Oct 16 14:51:40 GMT 2023","59","","OrderTest","","OrderTest","orderCanBePlaced","Create order",""
"passed","Mon Oct 16 14:51:40 GMT 2023","Mon Oct 16 14:51:40 GMT 2023","98","","OrderTest","","OrderTest","orderCanBeDeleted","Delete order",""
"passed","Mon Oct 16 14:51:40 GMT 2023","Mon Oct 16 14:51:40 GMT 2023","53","","PetTest","","PetTest","newPetCanBeAdded","Add new pet",""
"passed","Mon Oct 16 14:51:35 GMT 2023","Mon Oct 16 14:51:38 GMT 2023","3042","","UserTest","","UserTest","userCanBeCreated","Create user",""
"passed","Mon Oct 16 14:51:39 GMT 2023","Mon Oct 16 14:51:40 GMT 2023","224","","PetTest","","PetTest","petCanBeDeletedById","Delete pet by ID",""
"passed","Mon Oct 16 14:51:40 GMT 2023","Mon Oct 16 14:51:40 GMT 2023","127","","OrderTest","","OrderTest","orderCanBeFindById","Find order by ID",""
