"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 16 15:14:42 GMT 2023","Mon Oct 16 15:14:42 GMT 2023","302","","PetTest","","PetTest","newPetCanBeAdded","Add new pet",""
"passed","Mon Oct 16 15:14:43 GMT 2023","Mon Oct 16 15:14:44 GMT 2023","605","","OrderTest","","OrderTest","orderCanBeDeleted","Delete order",""
"passed","Mon Oct 16 15:14:39 GMT 2023","Mon Oct 16 15:14:40 GMT 2023","1423","","UserTest","","UserTest","userCanBeDeleted","Delete user",""
"passed","Mon Oct 16 15:14:42 GMT 2023","Mon Oct 16 15:14:43 GMT 2023","666","","OrderTest","","OrderTest","orderCanBeFindById","Find order by ID",""
"passed","Mon Oct 16 15:14:41 GMT 2023","Mon Oct 16 15:14:42 GMT 2023","305","","PetTest","","PetTest","petCanBeFindByPetId","Find pet by ID",""
"passed","Mon Oct 16 15:14:43 GMT 2023","Mon Oct 16 15:14:43 GMT 2023","319","","OrderTest","","OrderTest","orderCanBePlaced","Create order",""
"passed","Mon Oct 16 15:14:35 GMT 2023","Mon Oct 16 15:14:38 GMT 2023","3258","","UserTest","","UserTest","userCanBeCreated","Create user",""
"passed","Mon Oct 16 15:14:40 GMT 2023","Mon Oct 16 15:14:41 GMT 2023","1245","","PetTest","","PetTest","petCanBeDeletedById","Delete pet by ID",""
