"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 16 15:33:45 GMT 2023","Mon Oct 16 15:33:47 GMT 2023","1821","","UserTest","","UserTest","userCanBeDeleted","Delete user",""
"passed","Mon Oct 16 15:33:49 GMT 2023","Mon Oct 16 15:33:50 GMT 2023","848","","OrderTest","","OrderTest","orderCanBeFindById","Find order by ID",""
"passed","Mon Oct 16 15:33:49 GMT 2023","Mon Oct 16 15:33:49 GMT 2023","372","","PetTest","","PetTest","newPetCanBeAdded","Add new pet",""
"passed","Mon Oct 16 15:33:41 GMT 2023","Mon Oct 16 15:33:45 GMT 2023","4021","","UserTest","","UserTest","userCanBeCreated","Create user",""
"passed","Mon Oct 16 15:33:48 GMT 2023","Mon Oct 16 15:33:49 GMT 2023","398","","PetTest","","PetTest","petCanBeFindByPetId","Find pet by ID",""
"passed","Mon Oct 16 15:33:47 GMT 2023","Mon Oct 16 15:33:48 GMT 2023","1573","","PetTest","","PetTest","petCanBeDeletedById","Delete pet by ID",""
"passed","Mon Oct 16 15:33:50 GMT 2023","Mon Oct 16 15:33:51 GMT 2023","800","","OrderTest","","OrderTest","orderCanBeDeleted","Delete order",""
"passed","Mon Oct 16 15:33:50 GMT 2023","Mon Oct 16 15:33:50 GMT 2023","392","","OrderTest","","OrderTest","orderCanBePlaced","Create order",""
